#neurons	layers	iterations	good	training
12	3	1000	40.65	1
12	3	200	41.85	1
12	3	20	40.9	1
30	6	400	41.85	1
30	6	20	39.65	1
100	6	20	42.85	1
1000	6	20	42	1
1000	10	20	42.25	1
100	10	20	48.05	2
100	10	20	54.9	2
200	10	40	53	2
200	14	40	56	2
200	14	80	53.4	2
10	14	40	53.44	2
10	14	40	40.45	1
20	8	40	38.45	1
20	8	40	57.15	2
20	8	2	51.8	2
20	8	1	14	1
20	8	2	34.4	1
20	8	2000	54.55	2
20	3	20	36.9	1
28	3	15	55.9	2
23	3	8	51.95	2
512	10	200	57.55	2
10	4	8	54.5	2
50	6	2000	50.9	2
500	6	200	58.4	2
150	3	120	55.35	2
11	3	23	54.25	2
17	6	12	53.85	2
13	5	12	54.2	2
10	3	15	52.1	2
4	4	11	22.2	1
15	5	15	41.75	1
28	7	15	55.3	2
30	3	15	52	2
250	2	250	56.25	2
300	5	500	38.9	1
12	3	10	38.75	1
12	3	10	38.85	1
16	8	20	42	1
12	3	10	37.55	1
100	4	300	42.55	1
20	3	12	39.95	1
420	5	1000	41.65	1
14	11	100	40.95	1
32	7	25	55.1	2
12	8	10	52.8	2
12	18	10	54.7	2



